Time,ZN_OFFICES_A1::Des Heat Load [W],ZN_OFFICES_A1:BOLOGNA-BORGO PANIGALE ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZN_OFFICES_A1::Des Heat Mass Flow [kg/s],ZN_OFFICES_A1:BOLOGNA-BORGO PANIGALE ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZN_OFFICES_A2::Des Heat Load [W],ZN_OFFICES_A2:BOLOGNA-BORGO PANIGALE ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZN_OFFICES_A2::Des Heat Mass Flow [kg/s],ZN_OFFICES_A2:BOLOGNA-BORGO PANIGALE ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZN_OFFICES_B1:BOLOGNA-BORGO PANIGALE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZN_OFFICES_B1:BOLOGNA-BORGO PANIGALE ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZN_OFFICES_B1:BOLOGNA-BORGO PANIGALE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZN_OFFICES_B1:BOLOGNA-BORGO PANIGALE ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZN_CLASSROOM_A::Des Heat Load [W],ZN_CLASSROOM_A::Des Sens Cool Load [W],ZN_CLASSROOM_A::Des Heat Mass Flow [kg/s],ZN_CLASSROOM_A::Des Cool Mass Flow [kg/s],ZN_OFFICE_B2:BOLOGNA-BORGO PANIGALE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZN_OFFICE_B2:BOLOGNA-BORGO PANIGALE ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZN_OFFICE_B2:BOLOGNA-BORGO PANIGALE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZN_OFFICE_B2:BOLOGNA-BORGO PANIGALE ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZN_CLASSROOM_B:BOLOGNA-BORGO PANIGALE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZN_CLASSROOM_B::Des Sens Cool Load [W],ZN_CLASSROOM_B:BOLOGNA-BORGO PANIGALE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZN_CLASSROOM_B::Des Cool Mass Flow [kg/s]
00:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.137708E+04,0.000000E+00,2.788437E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.593156E+03,0.000000E+00,2.351408E-01,0.000000E+00,3.779964E+03,0.000000E+00,9.263963E-02,0.000000E+00
01:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.141153E+04,0.000000E+00,2.796720E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.624324E+03,0.000000E+00,2.358930E-01,0.000000E+00,3.778745E+03,0.000000E+00,9.260429E-02,0.000000E+00
01:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.145466E+04,0.000000E+00,2.807288E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.656602E+03,0.000000E+00,2.366843E-01,0.000000E+00,3.778453E+03,0.000000E+00,9.259686E-02,0.000000E+00
02:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.149877E+04,0.000000E+00,2.818098E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.692532E+03,0.000000E+00,2.375653E-01,0.000000E+00,3.779236E+03,0.000000E+00,9.261603E-02,0.000000E+00
02:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.153843E+04,0.000000E+00,2.827817E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.724433E+03,0.000000E+00,2.383473E-01,0.000000E+00,3.779719E+03,0.000000E+00,9.262785E-02,0.000000E+00
03:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.157499E+04,0.000000E+00,2.836774E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.753816E+03,0.000000E+00,2.390674E-01,0.000000E+00,3.780131E+03,0.000000E+00,9.263795E-02,0.000000E+00
03:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.160894E+04,0.000000E+00,2.845092E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.781106E+03,0.000000E+00,2.397363E-01,0.000000E+00,3.780506E+03,0.000000E+00,9.264714E-02,0.000000E+00
04:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.164062E+04,0.000000E+00,2.852854E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.806557E+03,0.000000E+00,2.403600E-01,0.000000E+00,3.780852E+03,0.000000E+00,9.265562E-02,0.000000E+00
04:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.167029E+04,0.000000E+00,2.860123E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.830381E+03,0.000000E+00,2.409439E-01,0.000000E+00,3.781175E+03,0.000000E+00,9.266353E-02,0.000000E+00
05:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.169817E+04,0.000000E+00,2.866954E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.852756E+03,0.000000E+00,2.414923E-01,0.000000E+00,3.781479E+03,0.000000E+00,9.267096E-02,0.000000E+00
